mq5,mq9,mq135,humidity,temp,pressure,dust
127.17,98.79,71.64,71,27,986,2.66
127.26,99.33,70.31,69,27,986,2.74
127,98.36,70.56,69,27,986,2.75
127.29,99.28,69.89,70,28,986,2.73
127.35,99.69,69.84,69,28,986,2.82
127.41,99.87,69.42,69,27,986,3.17
126.94,98.24,69.72,69,27,986,2.75
125.26,92.74,68.77,70,27,986,2.44
124.13,89.03,68.89,70,27,986,2.42
121.46,80.31,71.64,71,28,986,2.26
120.27,77.18,77.96,70,28,986,2.04
127.17,97.85,78.57,67,28,986,2.58
122.97,85.23,72.04,70,28,986,2.34
125.66,91.77,82.08,70,28,986,2.48
123.29,86.08,73.65,70,28,986,2.33
126.91,98.11,73.42,69,28,986,2.57
126.59,97.34,69.91,69,28,986,2.56
123.58,87.31,72.5,70,28,986,2.43
127.58,98.08,79.25,70,28,986,2.68
127.11,98.79,71.28,69,28,986,2.69
127,98.19,71.14,69,28,986,2.66
127.41,99.06,72.09,70,28,986,2.69
125.17,92.72,68.72,69,28,986,2.47
127.09,98.02,73.84,70,28,986,2.69
126.51,96.92,70.64,70,28,986,2.56
127.41,99.27,72,71,28,986,2.62
127.43,100.01,70.94,71,28,986,2.84
127.43,99.75,70.65,71,28,986,2.64
125.14,92.5,68.33,71,28,986,2.47
126.56,95.46,74.96,71,28,986,2.61
123.29,85.93,70.35,72,28,986,2.36
126.25,92.88,81.94,70,28,986,2.66
127.26,99.13,72.65,71,28,985,2.73
127.11,98.36,71.72,71,28,985,2.62
127.35,99.64,70.8,71,28,985,2.88
127.2,98.9,70.66,71,28,985,2.7
125.75,94.41,68.45,71,28,985,2.53
126.94,98.08,69.78,71,28,985,2.65
127.17,98.64,71.51,71,28,985,2.64
126.74,97.6,68.66,71,28,985,2.6
127.35,99.37,70.1,70,28,985,2.65
127.26,99.05,68.95,68,28,985,2.7
128.36,100.56,77.64,71,27,986,2.69
128.36,100.53,77.03,72,27,986,3.64
128.33,100.45,75.34,72,27,986,2.71
128.51,100.61,75.09,72,27,986,3.01
